Name,Primary Genre,Synopsis,Age Rating,Rating Score,Theatrical Release Year,Director ,Cast,keywords4,,
Krishnakanter Will,Drama,"How far will a son go to get his own share of property ? Here is a tale that explores conspiracy, a father-son relationship in ""Krishnakanter Will"".",U/A 16+ ,4,2007,Raja Sen,"Jeet, Swastika Mukherjee, Monali Thakur, Soumitra Chatterjee, Kunal Mittra, Tulika Basu","how, far, son, go, get, own, share, property, here, tale, explores, conspiracy, father, son, relationship, krishnakanter",,
Swapnajaal,Romance,"Set in the 90s, in the suburbs of Bangladesh, ""Swapnajal"" is a desperate love story of a young couple set against the backdrop of a communal riot.",U/A 7+,2,2018,Shyamal Bose,"Sushmita Roy, Surojit Bose, Trina Das","set, 90s, suburbs, bangladesh, swapnajal, desperate, love, story, young, couple, set, against, backdrop, communal, riot",,
Anil Bagchir Ekdin,Drama,"A day in the life of Anil Bagchi, who tries to return to his village at the onset of the Liberation War in Bangladesh. Watch the full movie on Hoichoi.",U/A 7+,2,2015,Morshedul Islam,"Gazi Rakayet, Jyotika Jyoti, Misa Sawdagar, Aref Syed","day, life, anil, bagchi, who, tries, return, village, onset, liberation, war, bangladesh, watch, full, movie, hoichoi",,
Nagarkirtan,Drama,"Puti and Madhu, meet each other in a ghetto of eunuchs, and soon their love blossoms. What will be their destiny ? Watch another masterpiece by Kaushik Ganguly - ""Nagarkirtan"".",A 18+,5,2017,Kaushik Ganguly,"Riddhi Sen, Ritwick Chakraborty, Bidipta Chakraborty, Sujan Mukherjee, Indrashish Roy","puti, madhu, meet, each, other, ghetto, eunuchs, soon, love, blossoms, what, destiny, watch, another, masterpiece, kaushik, ganguly, nagarkirtan",,
Gorosthane Sabdhan,Detective,"The grave of Thomas Godwin has been mysteriously dug up. Watch another quest where Feluda, Topse and Jatayu return to solve another mystery in ""Gorosthane Sabdhan"".",U,1,2010,Sandip Ray,"Sabyasachi Chakrabarty, Saheb Bhattacherjee, Bibhu Bhattacharya","grave, thomas, godwin, mysteriously, dug, watch, another, quest, where, feluda, topse, jatayu, return, solve, another, mystery, gorosthane, sabdhan",,
Piprabidya,Drama,The attraction of the big city - and a simple man's dreams. How many lives will be changed by the videos on a phone? Watch the dark comedy on hoichoi.,U/A 7+,2,2014,Mostofa Sarwar Farooki,"Sheena Chohan, Noor Imran Mithu, G. Sumdany Don, Mukit Zakaria","attraction, big, city, simple, man, s, dreams, how, many, lives, changed, videos, phone, watch, dark, comedy, hoichoi",,
Shantilal O Projapoti Rohoshyo,Thriller,"Shantilal, a jarred weather reporter, discovers a startling secret about famous actress Nandita who is about to join politics. Shantilal turns detective and tries to uncover the buried truth that may give him his biggest headline yet!",A 18+,5,2019,Pratim D. Gupta,"Ritwick Chakraborty, Paoli Dam, Goutam Ghose, Akshay Kapoor, Alakananda Ray, Ambarish Bhattacharya, Chitrangada Chakraborty, Sanghasri Sinha","shantilal, jarred, weather, reporter, discovers, startling, secret, famous, actress, nandita, who, join, politics, shantilal, turns, detective, tries, uncover, buried, truth, give, biggest, headline, yet",,
Television,Drama,"A fight for the right to imagination, beyond restrictions. Can television open a new window for the people in a village? Watch Television on hoichoi.",U/A 7+,2,2013,Mostofa Sarwar Farooki,"Kazi Shahir Huda Rumi, Chanchal Chowdhury, Nusrat Imrose Tisha, Mosharraf Karim, Mukit Zakaria, Shamim Shahed, Robena Reza Jui","fight, right, imagination, beyond, restrictions, television, open, new, window, people, village, watch, television, hoichoi",,
Kedara,Drama,A despairing man fights against loneliness - with a dying art form. Can a chair open a door to a new world for him? Watch Indraadip Das Gupta's film on hoichoi.,U/A 16+,4,2019,Indraadip Dasgupta,"Kaushik Ganguly, Rudranil Ghosh, Bidipta Chakraborty, Joydeep Kundu, Moushumi Sanyal Dasgupta, Indranil Roy","despairing, man, fights, against, loneliness, dying, art, form, chair, open, door, new, world, watch, indraadip, das, gupta, s, film, hoichoi",,
Kathbirali,Romantic,"Hasu's life revolves around his childhood friend Anish and the love of his life Kajol. When he decides to settle down, life takes an unexpected turn where the people around him are at stake.",U/A 7+,2,2020,Niamul Mukta,"Orchita Sporshia, Asaduzzaman Abir, Sayed Zaman Shawon, Shahriar Ferdous Sazeeb, Hindol Roy, A K Azad Shetu, Tasnim","hasu, s, life, revolves, around, childhood, friend, anish, love, life, kajol, when, decides, settle, life, takes, unexpected, turn, where, people, around, stake",,
Konttho,Social Drama,"A famous radio presenter, Arjun's life falls apart after being diagnosed with laryngeal cancer and losing his voice. As he refuses to give up, Romila comes to the rescue to start his journey again.",U,1,2019,"Nandita Roy, Shiboprasad Mukherjee","Shiboprasad Mukherjee, Paoli Dam, Jaya Ahsan","famous, radio, presenter, arjun, s, life, falls, apart, diagnosed, laryngeal, cancer, losing, voice, refuses, give, romila, comes, rescue, start, journey, again",,
Robibaar,Drama,"An estranged couple, a chance meeting, and a day of reflection. Will they face their old pains in a few hours? Watch the Prosenjit Chatterjee movie on hoichoi.",U/A 13+ ,3,2019,Atanu Ghosh,"Prosenjit Chatterjee, Jaya Ahsan","estranged, couple, chance, meeting, day, reflection, face, old, pains, few, hours, watch, prosenjit, chatterjee, movie, hoichoi",,
Sraboner Dhara,Drama,A man lost in the darkness of his mind: who will hold his hand? The tale of an Alzheimer's patient and his caregivers. Watch the Soumitra Chatterjee movie on hoichoi.,U/A 7+,2,2020,"Sudeshna Roy, Abhijit Guha","Soumitra Chatterjee, Parambrata Chatterjee, Gargi Roychowdhury, Basabdatta Chatterjee","man, lost, darkness, mind, who, hold, hand, tale, alzheimer, s, patient, caregivers, watch, soumitra, chatterjee, movie, hoichoi",,
Gotro,Drama,"Mukti Debi, an educated and conservative elderly Hindu woman, is unaware of the religious identity of her newly employed caretaker, Tareq Ali. Soon, a maternal bond is formed between the two. Will barriers of religion and society tear them apart?  ",U/A 7+,2,2019,"Nandita Roy, Shiboprasad Mukherjee","Anusua Majumder, Nigel Akara, Manali Manisha Dey, Kharaj Mukherjee","mukti, debi, educated, conservative, elderly, hindu, woman, unaware, religious, identity, newly, employed, caretaker, tareq, ali, soon, maternal, bond, formed, two, barriers, religion, society, tear, apart",,
Devi,Drama,"Devdas returns after 100 years, as a woman. This retelling of a classic is about a woman lost in darkness, for love. Watch  the Paoli Dam movie on hoichoi.",A 18+,5,2017,Rick Basu,"Paoli Dam, Shataf Figar, Rima Guhathakurta, Elena Kazan, Shubh, Rachel White","devdas, returns, 100, years, woman, retelling, classic, woman, lost, darkness, love, watch, paoli, dam, movie, hoichoi",,
Love Aaj Kal Porshu,Romance,"Love that remains the same - through time… A tale of two people who find each other - across ages, beyond faces. Watch this romantic movie by Pratim D Gupta on hoichoi.",U/A 16+,4,2020,Pratim D Gupta,"Arjun Chakraborty, Madhumita Sarcar, Paoli Dam, Anindita Bose, Anirban Chakrabarti, Avijit Guha","love, remains, same, time, tale, two, people, who, find, each, other, across, ages, beyond, faces, watch, romantic, movie, pratim, d, gupta, hoichoi",,
Prof. Shanku O El Dorado,Science Fiction,"Professor Shanku, a scientist, and Nakur Babu, a clairvoyant, visit São Paolo in search of the mythical city of El Dorado. The journey becomes troublesome with mysteries and Nakur's extraordinary power of seeing the future.",U/A 7+,2,2019,Sandip Ray,"Dhritiman Chatterji, Shubhashish Mukherjee, Uday Shankar Pal, Shubhrojit Dutta, Ratan Sarkhel, Roney Facchini, Ricardo Dantas, Eduardo Munniz, Jacqueline Mazarella, Fernando Coelho, Felipe Montanari, Meyerber Tapajos, Leonardo Milon de Oliveira, Augusto Cesar","professor, shanku, scientist, nakur, babu, clairvoyant, visit, são, paolo, search, mythical, city, el, dorado, journey, becomes, troublesome, mysteries, nakur, s, extraordinary, power, seeing, future",,
Dwitiyo Purush,Thriller,"A killer, released from prison is on a killing spree. Is he looking for revenge - or something more? Watch the thriller by Srijit Mukherji on hoichoi!",U/A 16+,4,2020,Srijit Mukherji,"Parambrata Chattopadhyay, Anirban Bhattacharya, Rwitobroto Bhattacharya, Gaurav Chakrabarty, Raima Sen, Abir Chatterjee, Riddhima Ghosh","killer, released, prison, killing, spree, looking, revenge, something, more, watch, thriller, srijit, mukherji, hoichoi",,
Abby Sen,Science Fiction Comedy,This Bengali film is about a science enthusiast who gets a chance to time-travel. Can he find an easier life in the 80s? Watch this Abir Chatterjee film on hoichoi.,U/A 7+,2,2015,Atanu Ghosh,"Abir Chatterjee, Raima Sen, Chiranjeet Chakraborty, Arunima Ghosh, Bratya Basu, Priyanka Sarkar, Kanchan Mullick, Neel Mukherjee, Biswanath Basu, Bhaswar Chatterjee, Paran Bandopadhyay, Kharaj Mukherjee","bengali, film, science, enthusiast, who, gets, chance, time, travel, find, easier, life, 80s, watch, abir, chatterjee, film, hoichoi",,
Ghawre Bairey Aaj,Political Drama,"A modern retelling of Tagore's timeless tale, this story captures a love triangle amidst social unrest. Watch the Aparna Sen movie now on hoichoi.",A 18+,5,2019,Aparna Sen,"Anirban Bhattacharya, Tuhina Das, Jisshu Sengupta","modern, retelling, tagore, s, timeless, tale, story, captures, love, triangle, amidst, social, unrest, watch, aparna, sen, movie, now, hoichoi",,
Gumnaami (Hindi),Drama,How did Netaji disappear? This Bengali film directed by the renowned director Srijit Mukherji based on the famous Mukherjee Commission hearings. Watch the most talked about Bengali film of 2019 only on hoichoi.,U/A 7+,2,2019,Srijit Mukherji,"Prosenjit Chatterjee, Anirban Bhattacharya, Tanusree Chakraborty, Biplab Dasgupta, Shyamal Chakraborty, Surendra Rajan, Sanjay Gurbaxani, Akshay Kapoor, Satyam Bhattacharya, Shibashish Bandopadhyay, Prantik Banerjee","how, netaji, disappear, bengali, film, directed, renowned, director, srijit, mukherji, based, famous, mukherjee, commission, hearings, watch, most, talked, bengali, film, 2019, only, hoichoi",,
Shaheb Bibi Golaam,Thriller,"A Bengali thriller about a former cop, a troubled housewife, and a cab driver in love, fighting the odds of the society. Watch Shaheb Bibi Golaam on hoichoi!",A 18+,5,2016,Pratim D. Gupta,"Anjan Dutt, Swastika Mukherjee, Ritwick Chakraborty, Vikram Chatterjee, Parno Mittra","bengali, thriller, former, cop, troubled, housewife, cab, driver, love, fighting, odds, society, watch, shaheb, bibi, golaam, hoichoi",,
Gumnaami,Drama,"How did Netaji disappear? This Bengali film raises the question, based on the Mukhejee Commission Hearings. Watch the Srijit Mukherji film on hoichoi.",U/A 7+,2,2019,Srijit Mukherji,"Prosenjit Chattopadhyay, Anirban Bhattacharya, Tonushree Chakraborty","how, netaji, disappear, bengali, film, raises, question, based, mukhejee, commission, hearings, watch, srijit, mukherji, film, hoichoi",,
Mukherjee dar Bou,Drama,A Bengali film about a daughter-in-law and her mother-in-law. Will they find a way to mend their strained relationship? Watch this women-centric film on hoichoi!,U/A 7+,2,2019,Pritha Chakraborty,"Koneenica Banerjee, Anusua Majumder, Biswanath Basu","bengali, film, daughter, law, mother, law, find, way, mend, strained, relationship, watch, women, centric, film, hoichoi",,
Bheetu,Psychological Thriller,A Bengali psycho-thriller about two sisters who get murdered. What will the investigations reveal about their past? Watch the Parno Mittra on hoichoi.,A 18+,5,2015,Utsav Mukherjee,"Parno Mittra, Ritwick Chakraborty, Sudiptaa Chakraborty, Saheb Bhattacharjee, Kamaleswar Mukherjee, Anindya Pulak Banerjee","bengali, psycho, thriller, two, sisters, who, get, murdered, what, investigations, reveal, past, watch, parno, mittra, hoichoi",,
Boss,Action,Surya is a don whose ladylove Rusha is the daughter of a police commissioner. How will he handle the contradictions? Watch the full movie on Hoichoi.,U/A 13+,3,2013,Baba Yadav,"Jeet, Chiranjeet, Subhashree Ganguly, Rajatava Dutta","surya, don, whose, ladylove, rusha, daughter, police, commissioner, how, handle, contradictions, watch, full, movie, hoichoi",,
Flat No 609,Horror,"A Bengali horror film about a couple moving into a new flat, only to face eerie situations. What secret awaits them? Watch the Bengali thriller on hoichoi.",U/A 16+,4,2018,Arindam Bhattacharya,"Abir Chatterjee, Tanusree Chakraborty, Soumitra Chatterjee, Pujarini Ghosh, Mamata Shankar","bengali, horror, film, couple, moving, new, flat, only, face, eerie, situations, what, secret, awaits, watch, bengali, thriller, hoichoi",,
Rosogolla,Drama,"A Bengali film based on the life of famous sweet-maker Nobin Chandra Das, about the making of Bengal’s favourite sweet. Watch Rosogolla on hoichoi!",U,1,2018,Pavel,"Ujaan Ganguly, Abantika Biswas, Bidipta Chakraborty, Rajatava Dutta","bengali, film, based, life, famous, sweet, maker, nobin, chandra, das, making, bengal, s, favourite, sweet, watch, rosogolla, hoichoi",,
Ahare Mon,Romance,A Bengali romantic drama about people connected by one common thread - love. Will their tales have a happy ending? Watch the Pratim D. Gupta movie on hoichoi.,U/A 7+,2,2018,Pratim D. Gupta,"Adil Hussain, Anjan Dutt, Ritwick Chakraborty, Mamata Shankar, Paoli Dam, Parno Mittra, Chitrangada Chakraborty","bengali, romantic, drama, people, connected, one, common, thread, love, tales, happy, ending, watch, pratim, d, gupta, movie, hoichoi",,
Bornoporichoy,Thriller,"A Mainak Bhowmick thriller about a cop hunting a serial killer, nearly ruining his life. Will they find each other? Watch the Abir-Jisshu film on hoichoi. ",U/A 16+,4,2019,Mainak Bhaumik,"Abir Chatterjee, Jisshu Sengupta, Priyanka Sarkar","mainak, bhowmick, thriller, cop, hunting, serial, killer, nearly, ruining, life, find, each, other, watch, abir, jisshu, film, hoichoi",,
Goyenda Junior,Mystery,A Bengali crime thriller about a teenaged detective investigating the perfect crime disguised as a natural death! Watch the film starring Rwitobroto Mukherjee.,U/A 7+,2,2019,Mainak Bhaumik,"Rwitobroto Mukherjee, Shantilal Mukherjee, Anusha Vishwanathan, Debmallyo Gupta, Pushan Dasgupta, Prantik Banerjee, Krishnendu Adhikary","bengali, crime, thriller, teenaged, detective, investigating, perfect, crime, disguised, natural, death, watch, film, starring, rwitobroto, mukherjee",,
Bibaho Obhijaan,Comedy,"Anupam and Rajat, frustrated with their married lives, flee from their wives and jobs. Things take a hilarious turn when they get kidnapped by Bullet Singh. ",U/A 16+,4,2019,Birsa Dasgupta,"Ankush Hazra, Nusrat Faria, Rudranil Ghosh, Sohini Sarkar, Anirban Bhattacharya, Priyanka Sarkar","anupam, rajat, frustrated, married, lives, flee, wives, jobs, things, take, hilarious, turn, when, get, kidnapped, bullet, singh",,
Brahma Janen Gopon Kommoti,Drama,"Shabari, a professor of Sanskrit, hides her priesthood from her orthodox in-laws. Her family doesn't take it well when they get to know the truth. Will Shabari be able to stand up to the pressures of society and family and fulfil her dreams?",U,1,2020,Aritra Mukherjee,"Ritabhari Chakraborti, Soham Majumder","shabari, professor, sanskrit, hides, priesthood, orthodox, laws, family, doesn, t, take, well, when, get, know, truth, shabari, able, stand, pressures, society, family, fulfil, dreams",,
Durgeshgorer Guptodhon,Adventure,A Bengali film about the adventure of Sona Da as he looks for a hidden treasure during Durga Puja. Will he succeed? Watch the Abir Chatterjee movie on hoichoi.,U/A 7+,2,2019,Dhrubo Banerjee,"Abir Chatterjee, Arjun Chakrabarty, Ishaa Saha, Koushik Sen, Kharaj Mukherjee, Anindya Chatterjee, Lily Chakraborty, Arindam Sil","bengali, film, adventure, sona, da, looks, hidden, treasure, during, durga, puja, succeed, watch, abir, chatterjee, movie, hoichoi",,
Ke Tumi Nandini,Romantic Drama,A romantic Bengali film about a free-spirited girl who falls for an older and more mature man. Will she win his heart? Watch the Bonny Sengupta movie on hoichoi.,U/A 7+,2,2019,Pathikrit Basu,"
Bonny Sengupta, Rupsha Mukherjee, Saayoni Ghosh, Shankar Chakraborty, Saurav Das, Aparajita Auddy, Rudranil Ghosh, Gaurab Chatterjee, Sayantani Guhathakurta","romantic, bengali, film, free, spirited, girl, who, falls, older, more, mature, man, win, heart, watch, bonny, sengupta, movie, hoichoi",,
Sweater,Drama,"After several rejections, Tuku finally finds a match but with a catch. This alliance can go through only if Tuku can become an expert at knitting within a month. While learning the same, she befriends Shamyo. What course will Tuku's life take now?",U/A 13+,3,2019,Shieladitya Moulik,"Ishaa Saha, June Maliah, Sreelekha Mitra, Kharaj Mukherjee, Saurav Das, Anuradha Mukherjee, Farhan Imroze, Sidhu Ray","several, rejections, tuku, finally, finds, match, catch, alliance, go, only, tuku, become, expert, knitting, within, month, learning, same, befriends, shamyo, what, course, tuku, s, life, take, now",,
Aami Ashbo Phirey,Musical Drama,"An Anjan Dutt film about four people connected by an accident, dealing with pain through music in this digital era. Watch the Bengali film online on hoichoi.",A 18+,5,2018,Anjan Dutt,"Anjan Dutt, Swastika Mukherjee, Koushik Sen, Sauraseni Maitra, Anindya Chatterjee, Darshana Banik, Anjana Basu, Sumanta Mukherjee, Sudeshna Roy","anjan, dutt, film, four, people, connected, accident, dealing, pain, music, digital, era, watch, bengali, film, online, hoichoi",,
Guptodhoner Sandhane,Adventure,A Bengali film about a history professor’s adventure as he learns about a hidden treasure in his dead uncle’s palace. Watch the Abir Chatterjee film online on hoichoi.,U,1,2018,Dhrubo Banerjee,"Abir Chatterjee, Arjun Chakrabarty, Ishaa Saha, Arindam Sil, Kamaleswar Mukherjee, Goutam Ghose, Rajatava Dutta","bengali, film, history, professor, s, adventure, learns, hidden, treasure, dead, uncle, s, palace, watch, abir, chatterjee, film, online, hoichoi",,
Maati O Manush,Drama,A Bengali film about a victim of superstitions of villagers who believe that she is a witch and begin to torture her. Watch the Bengali movie online on hoichoi.,U/A 7+,2,2010,Sisir Sahani,"Rimjhim Gupta, Sabyasachi Chakraborty, Sreela Majumdar, Chandan Sen, Shantilal Mukherjee, Debranjan Nag, Tuhin Mukherjee","bengali, film, victim, superstitions, villagers, who, believe, witch, begin, torture, watch, bengali, movie, online, hoichoi",,
Abhinetri,Drama,"Satabdi Roy’s directorial debut, this Bengali film is about the life of an actress and is loosely based on Suchitra Sen. Watch the full movie online on hoichoi.",U,1,2006,Satabdi Roy,"Chiranjit, Tapas Paul, Satabdi Roy, Abhishek Chatterjee, Tota Ray Chowdhury, Amitava Bhattacharya, Biplab Chattopadhyay, Locket Chatterjee, Biswanath Basu, Saheb Chattopadhyay","satabdi, roy, s, directorial, debut, bengali, film, life, actress, loosely, based, suchitra, sen, watch, full, movie, online, hoichoi",,
Bhoot Chaturdashi,Horror Drama,"A Bengali horror film about four friends in a haunted house, where a scary folklore is waiting to come alive for them. Watch the Shabbir Mallick film online on hoichoi.",U/A 16+,4,2019,Shabbir Mallick,"Aryann Bhowmik, Ena Saha, Soumendra Bhattacharya, Deepsheta Mitra","bengali, horror, film, four, friends, haunted, house, where, scary, folklore, waiting, come, alive, watch, shabbir, mallick, film, online, hoichoi",,
Iti Srikanto,Drama,"Soha Ali Khan's debut film is based on Sarat Chandra Chattopadhyay's much-celebrated novel Srikanta which depicts the love triangle between Srikanta, Rajlakshmi, and Kamallata. Watch the National Award-winning movie only on hoichoi. ",U/A 16+,4,2004,Anjan Das,"Soha Ali Khan, Adil Hussain, Reema Sen, Pijush Ganguly, Aparajita Ghosh Das","soha, ali, khan, s, debut, film, based, sarat, chandra, chattopadhyay, s, much, celebrated, novel, srikanta, which, depicts, love, triangle, srikanta, rajlakshmi, kamallata, watch, national, award, winning, movie, only, hoichoi",,
Kharij,Drama,"A Mrinal Sen movie about the mysterious death of a child, working as a servant in a middle-class family’s kitchen. Watch the Bengali classic film online on hoichoi.",U/A 7+,2,1982,Mrinal Sen,"Anjan Dutt, Mamata Shankar, Sreela Majumdar, Indranil Moitra, Dehapratim Das Gupta, Nilotpal Dey, Charuprakash Ghosh, Debatosh Ghosh, Gita Sen, Sunil Mukherjee","mrinal, sen, movie, mysterious, death, child, working, servant, middle, class, family, s, kitchen, watch, bengali, classic, film, online, hoichoi",,
Ei Ghar Ei Sansar,Drama,A Prosenjit Chatterjee movie that portrays the importance of women’s values in making or breaking a family. Watch the Bengali family drama film online on hoichoi.,U,1,2000,Swapan Saha,"Prasenjit Chatterjee, Rituparna Sengupta, Soumitra Chatterjee, Tapas Paul","prosenjit, chatterjee, movie, portrays, importance, women, s, values, making, breaking, family, watch, bengali, family, drama, film, online, hoichoi",,
Deewana,Romance,Shruti visits Phulbari where she meets Abhi. He comes to know of Shruti suffering from a disroder. Can he help her get cured? Watch the full movie on Hoichoi.,U/A 13+,3,2013,Rabi Kinagi,"Jeet, Srabanti Chatterjee, Bharat Kaul, Arun Bannerjee, Biswajit Chakraborty, Supriyo Datta, Tulika Basu, Mausum","shruti, visits, phulbari, where, meets, abhi, comes, know, shruti, suffering, disroder, help, get, cured, watch, full, movie, hoichoi",,
Shankar Mudi,Political Drama,Shankar Mudi explores the story of the local shop owners in an area. Their peace is disrupted as a shopping mall tends to replace them and jeopardize their livelihood. Will they survive?,U/A 16+,4,2019,Aniket Chattopadhyay,"Kaushik Ganguly, Jisshu Sengupta, Anjan Dutta, Shantilal Mukherjee, Saswata Chatterjee, Rudranil Ghosh, Kanchan Mullick, Sreela Majumdar, Ankita Chakraborty, Biswanath Basu, Malay Ghosh","shankar, mudi, explores, story, local, shop, owners, area, peace, disrupted, shopping, mall, tends, replace, jeopardize, livelihood, survive",,
Vinci Da,Thriller,A prosthetic makeup artist's life turns upside down when his art reaches the world of crime in the hands of a lawyer. Watch the full movie on hoichoi.,A 18+,5,2019,Srijit Mukherji,"Ritwick Chakraborty, Rudranil Ghosh, Anirban Bhattacharya, Sohini Sarkar","prosthetic, makeup, artist, s, life, turns, upside, when, art, reaches, world, crime, hands, lawyer, watch, full, movie, hoichoi",,
Kiriti O Kalo Bhromor,Detective ,A series of unfortunate events occurs after a millionaire ignores a threat. Will Kiriti succeed in solving the case? Watch the full movie on hoichoi.,U/A 16+,4,2016,Anindya Bikas Datta,"Indraneil Sengupta, Samadarshi Dutta, Arunima Ghosh, Kaushik Sen","series, unfortunate, events, occurs, millionaire, ignores, threat, kiriti, succeed, solving, case, watch, full, movie, hoichoi",,
Maati,Drama,"A woman’s journey to her ancestral home in East Bangladesh, where she meets the family of her grandmother’s murderer. Watch the full movie on hoichoi. ",U/A 7+,2,2018,"Saibal Banerjee, Leena Gangopadhyay","Paoli Dam, Adil Hussain, Sabitri Chatterjee","woman, s, journey, ancestral, home, east, bangladesh, where, meets, family, grandmother, s, murderer, watch, full, movie, hoichoi",,
Mon Jaane Na,Romantic Drama,The life of a lovelorn married couple takes a dark turn when the wife goes missing! What happens when she returns? Watch the full movie only on hoichoi. ,U/A 16+,4,2019,Shagufta Rafique,"Yash Dasgupta, Mimi Chakraborty, Shatf Figar, Rajdeep Gupta, Kusal Chakraborty","life, lovelorn, married, couple, takes, dark, turn, when, wife, goes, missing, what, happens, when, returns, watch, full, movie, only, hoichoi",,
Shah Jahan Regency,Drama,"The stories of people in a palatial hotel in Shankar's novel Chowringhee, retold with the dark ethos of modern Kolkata. Watch the full movie on hoichoi. ",U/A 16+,4,2019,Srijit Mukherji,"Parambharata Chattopadhyay, Abir Chatterjee, Anirban Bhattacharya, Swastika Mukherjee, Mamata Shankar, Kanchan Mullick, Sujoy Prasad, Rituparna Sengupta","stories, people, palatial, hotel, shankar, s, novel, chowringhee, retold, dark, ethos, modern, kolkata, watch, full, movie, hoichoi",,
Villain,Thriller,"Things start falling apart when Raja meets his look-alike Joy, and starts facing a series of incidents caused by their identity crisis.  ",U/A 13+,3,2018,Baba Yadav,"Ankush Hazra, Mimi Chakraborty, Rittika Sen, Subhadra Zayed, Mousumi Saha, Raja Dutta, Zoyed Ahmed, Arrayan","things, start, falling, apart, when, raja, meets, look, alike, joy, starts, facing, series, incidents, caused, identity, crisis",,
Jaani Dyakha Hawbe,Romantic Drama,"A budding muscian and an aspiring model fall in love, but they start to fall apart. Will they be brought back together? Watch the full movie on hoichoi.",A 18+,5,2011,Birsa Dasgupta,"Parambrata Chatterjee, Payel Sarkar, Anjan Dutt, Roopa Ganguly, Mamata Shankar, Nirupama, Shibprasad Mukhopadhyay, Arijit Dutta, Arijit Roy","budding, muscian, aspiring, model, fall, love, start, fall, apart, brought, back, together, watch, full, movie, hoichoi",,
Sesh Kartabya,Action,"Will duty-bound police officer Amit Roy stay determined to uproot the social parasites, even at the cost of his family’s safety? Watch the tale of a police officer eradicating the corrupt activities of a gang in ""Sesh Kartabya"".",U/A 13+,3,1998,Shantanu Bhowmik,"Victor Banerjee, Rituparna Sengupta, Abhishek Chatterjee","duty, bound, police, officer, amit, roy, stay, determined, uproot, social, parasites, even, cost, family, s, safety, watch, tale, police, officer, eradicating, corrupt, activities, gang, sesh, kartabya",,
Bidaay byomkesh,Detective,"After a long exile, Byomkesh's son confesses to a murder. Will the aged Satyanweshi and his grandson find the truth? Watch the full movie on hoichoi.",U/A 13+,3,2018,Debaloy Bhattacharya,"Abir Chatterjee, Rahul Banerjee, Sohini Sarkar, Rupankar Bagchi, Bidipta Chakraborty, Sujoy Prasad Chatterjee, Joy Sengupta, Arindam Sil","long, exile, byomkesh, s, son, confesses, murder, aged, satyanweshi, grandson, find, truth, watch, full, movie, hoichoi",,
Dashami,Drama,"During a visit to Kolkata for Durga Pujo, Tuli grows closer to her old friend Abhi, until their lives change for good. Watch the full movie on hoichoi.",U/A 13+,3,2012,Suman Maitra,"Koel Mallick, Indraneil Sengupta, Locket Chatterjee, Pijush Ganguly, Arijit Dutta","during, visit, kolkata, durga, pujo, tuli, grows, closer, old, friend, abhi, until, lives, change, good, watch, full, movie, hoichoi",,
Adventures of jojo,Adventure,"Young Jojo befriends a boy named Shibu. Together, they try to save a legendary animal in the forest from poachers. Watch the full movie on hoichoi.",U/A 7+,2,2018,Raj Chakraborty,"Jashojeet Banerjee, Samiul Alam, Padmanabha Dasgupta, Rudranil Ghosh","young, jojo, befriends, boy, named, shibu, together, try, save, legendary, animal, forest, poachers, watch, full, movie, hoichoi",,
Naqaab,Horror Comedy,"A thief’s power to talk to ghosts. Can he use this to his benefit, or does he land in trouble?Watch the supernaturnal action comedy ""Naqaab"".",U/A 13+,3,2018,Rajiv Biswas,"Shakib Khan, Nusrat Jahan, Sayantika Banerjee, Rudranil Ghosh, Sudip Mukherjee, Kharaj Mukherjee, Bharat Kaul, Supriyo Dutta, Rajatabha Dutta, Amit Hasan, Sadek Bachchu, Shiba Shanu","thief, s, power, talk, ghosts, use, benefit, land, trouble, watch, supernaturnal, action, comedy, naqaab",,
Aschhe Abar Shabor,Crime,"In the third instalment of the Goenda Shabor series, detective Shabor Dasgupta investigates a series of murders happening around the city, where all the victims are mysteriously linked with a dating site. ",A 18+,5,2018,Arindam Sil,"Saswata Chatterjee, Subhrajeet Dutta, Gaurav Chakraborty, Indraneil Sengupta, Lolita Chatterjee, Anindya Chattopadhyay, Anjana Basu, Mir Afsar Ali, Diti Saha, Darshana Banik, Tuhina Das, Priyanka Mondal, Anamika Chakraborty, Arunima Ghosh","third, instalment, goenda, shabor, series, detective, shabor, dasgupta, investigates, series, murders, happening, around, city, where, all, victims, mysteriously, linked, dating, site",,
Finally Bhalobasha,Romance,"Finally Bhalobasha is an anthology of three stories, six characters with their lives linked to each other. This Anjan Dutt film beautifully captures and reflects the many dimensions of love and life.",U/A 16+,4,2019,Anjan Dutt,"Anjan Dutt, Raima Sen, Arjun Chakrabarty, Anirban Bhattacharya, Sauraseni Maitra, Arindam Sil","finally, bhalobasha, anthology, three, stories, six, characters, lives, linked, each, other, anjan, dutt, film, beautifully, captures, reflects, many, dimensions, love, life",,
