Content Type,Name,Primary Genre,Secondary Genre,Synopsis,Age Rating,Rating Score,Theatrical Release Year,Director ,Cast,Runtime (minutes),keywords2,keywords3,keywords4
Movie,Ek Tuku Chhoa Lage,Romantic,Comedy,"When two friends fall in love with the same girl, their friendship is tested. Watch this classic romantic comedy only on hoichoi.",U,1,1961,Mrinal Sen,"Soumitra Chatterjee, Pahari Sanyal, Kanika Majumdar",121,"friends fall love girl, friendship",friends fall love,"friends, fall, love, girl,, friendship, tested., Watch, classic, romantic, comedy, hoichoi."
Movie,Sunayani,Drama,,"Sunayani, a visually challenged young girl, serves as a caregiver for Arun, a rich young man who has been dealing with depression. After some time, Arun proposes marriage to Sunayani. Watch this classic romantic saga only on hoichoi.",U/A 13+,3,1953,Debaki Bose,"Suchitra Sen, Pahari Sanyal, Basanta Choudhury",129,"Sunayani, visually challenged young girl,","Sunayani, visually challenged","Sunayani,, visually, challenged, young, girl,, serves, caregiver, Arun,, rich, young, man, dealing, depression., time,, Arun, proposes, marriage, Sunayani., Watch, classic, romantic, saga, hoichoi."
Movie,Shuk Sari,Drama,,Shuk Sari is a realistic portrayal of an Indian marriage where freedom and responsibility don't stand in the way of the other. Watch this beautiful musical story only on hoichoi.,U/A 13+,3,1977,Kamal Majumdar,"Azra, Biswajit Chatterjee, Kishore Kumar, Chandrima Bhaduri, Raka Bhaduri, Samar Chattopadhyay",125,Shuk Sari realistic portrayal Indian,Shuk Sari realistic,"Shuk, Sari, realistic, portrayal, Indian, marriage, freedom, responsibility, don't, stand, way, other., Watch, beautiful, musical, story, hoichoi."
Movie,Hothat Nirar Jonyo,Drama,,Rani's college friend Abinash comes into her world of domestic bliss and asks for a day of her life to get over her memories. Rani is torn between her principles and her passion for Abinash. What will she choose? Watch Hothat Nirar Jonyo based on 'Rani o Abinash' by Sunil Gangopadhyay.,A 18+,5,1979,Sukhen Das,"Uttam Kumar, Shakuntala Barua, Subhendu Chattopadhyay",107,Rani's college friend Abinash comes,Rani's college friend,"Rani's, college, friend, Abinash, comes, world, domestic, bliss, asks, day, life, memories., Rani, torn, principles, passion, Abinash., choose?, Watch, Hothat, Nirar, Jonyo, based, 'Rani, o, Abinash', Sunil, Gangopadhyay."
Movie,Chirodiner,Romantic,Drama,Chirodiner is a timeless love story starring the evergreen Uttam Kumar and the versatile Supriya Devi. Watch this classic tale of love only on hoichoi.,U,1,1969,Sushil Majumdar,"Uttam Kumar, Anjana Bhowmik",109,Chirodiner timeless love story starring,Chirodiner timeless love,"Chirodiner, timeless, love, story, starring, evergreen, Uttam, Kumar, versatile, Supriya, Devi., Watch, classic, tale, love, hoichoi."
Movie,Amar Geeti,Musical,Drama,"Ramnidhi Gupta, popularly known as Nidhu Babu, introduced Tappa, a form of light north Indian classical music, in Bengali. Amar Geeti is based on the life and times of the spirited Nidhu Babu and how he gave birth to the famous 'Nidhu Babur Tappa', an integral part of Bengali music and culture.",U/A 13+,3,2004,Subrata Sen,"Jaya Seal Ghosh, Bikram Ghosh, Arindam Sil",97,"Ramnidhi Gupta, popularly known Nidhu","Ramnidhi Gupta, popularly","Ramnidhi, Gupta,, popularly, known, Nidhu, Babu,, introduced, Tappa,, form, light, north, Indian, classical, music,, Bengali., Amar, Geeti, based, life, times, spirited, Nidhu, Babu, gave, birth, famous, 'Nidhu, Babur, Tappa',, integral, Bengali, music, culture."
Movie,Nishipadma,Drama,,"Pushpa's uncle sells her off to a brothel in Calcutta. Pushpa's first customer, Ananga, an unhappily married man, falls in love with her on her first night there and starts visiting her regularly. Watch Nishipadma based on Bibhutibhushan Bandopadhyay's short story, Hinger Kochuri.",U/A 13+,3,1969,Agradoot,"Uttam Kumar, Supriya Choudhury, Gita Dey",126,Pushpa's uncle sells brothel Calcutta.,Pushpa's uncle sells,"Pushpa's, uncle, sells, brothel, Calcutta., Pushpa's, customer,, Ananga,, unhappily, married, man,, falls, love, night, starts, visiting, regularly., Watch, Nishipadma, based, Bibhutibhushan, Bandopadhyay's, short, story,, Hinger, Kochuri."
Movie,Akash Kusum,Drama,,"Ajay, a lower-middle-class fellow, pretends to be a successful businessman to win the affluent Monica's heart. The bluffs pile up in Ajay's quest for stature and social acceptability. How will this deception affect his life and his and Monica's relationship?",U/A 7+,2,1983,Tarun Majumdar,"Soumitra Chatterjee, Sandhya Ray, Biswajit Chatterjee, Rabi Ghosh",111,"Ajay, lower-middle-class fellow, pretends successful","Ajay, lower-middle-class fellow,","Ajay,, lower-middle-class, fellow,, pretends, successful, businessman, win, affluent, Monica's, heart., bluffs, pile, Ajay's, quest, stature, social, acceptability., deception, affect, life, Monica's, relationship?"
Movie,No Dorai,Sports,Drama,"In a small coastal town in Bangladesh, Ayesha needs to overcome social prohibition and violent opposition from her poverty-ridden family to fulfil her dream of becoming a surfer. Will she be successful?",U/A 16+,4,1970,Arabinda Mukhopadhyay,"Uttam Kumar, Sabitri Chatterjee, Anup Kumar",120,"small coastal town Bangladesh, Ayesha",small coastal town,"small, coastal, town, Bangladesh,, Ayesha, needs, overcome, social, prohibition, violent, opposition, poverty-ridden, family, fulfil, dream, surfer., successful?"
Movie,Kakababur Protyaborton,Adventure,,"Kakababu and Santu go on a trip to the great Masai Mara Game Reserve for a blissful holiday. But, soon, they get sucked into the mystery surrounding two missing German tourists and a treacherous game of life and death. ",U,1,1965,Mrinal Sen,"Soumitra Chattopadhyay, Aparna Sen, Subhendu Chattopadhyay",105,Kakababu Santu trip great Masai,Kakababu Santu trip,"Kakababu, Santu, trip, great, Masai, Mara, Game, Reserve, blissful, holiday., But,, soon,, sucked, mystery, surrounding, missing, German, tourists, treacherous, game, life, death."
Movie,"Baba, Baby O",Drama,,"Megh, a 40-something single father of two, unexpectedly falls in love with the charming Brishti, who is not too fond of children. While an unusual bond develops between the two, soon it's time for Brishti to fly towards new horizons. What happens next?",U,1,2019,Taneem Rahman Angshu,"Sunerah Binte Kamal, Sariful Razz, Sayed Babu, Wasim Sitar Liyakat",143,"Megh, 40-something single father two,","Megh, 40-something single","Megh,, 40-something, single, father, two,, unexpectedly, falls, love, charming, Brishti,, fond, children., unusual, bond, develops, two,, soon, it's, time, Brishti, fly, new, horizons., happens, next?"
Movie,Kishore Kumar Junior,Musical,Drama,"Kishore Kumar Junior, a version singer, earns a living and realises his passion for music by singing Kishore Kumar's melodies on stage. One day, the Government of India invites him and his team to perform at a peace concert at the Indo-Pak border. But they are nowhere to be found in the vast border terrains. Where are they, and can their music rescue them and bring them back home?",U,1,2022,Srijit Mukherji,"Prosenjit Chatterjee, Aryann Bhowmik, Anirban Chakrabarti",121,"Kishore Kumar Junior, version singer,","Kishore Kumar Junior,","Kishore, Kumar, Junior,, version, singer,, earns, living, realises, passion, music, singing, Kishore, Kumar's, melodies, stage., day,, Government, India, invites, team, perform, peace, concert, Indo-Pak, border., vast, border, terrains., they,, music, rescue, bring, home?"
Movie,Bony,Sci-fi,Thriller,Doctors announce that Sabyasachi and Pratibha's newborn son will never talk or walk. The new parents are unaware that their baby is part of a sinister plan chalked up by a team of rogue scientists. Will Sabyasachi and Pratibha be able to neutralize these malignant forces and save their child?,U,1,2022,Aritra Mukherjee,"Jisshu Sengupta, Solanki Roy, Gourab Chatterjee, Mainak Banerjee",133,Doctors announce Sabyasachi Pratibha's newborn,Doctors announce Sabyasachi,"Doctors, announce, Sabyasachi, Pratibha's, newborn, son, talk, walk., new, parents, unaware, baby, sinister, plan, chalked, team, rogue, scientists., Sabyasachi, Pratibha, able, neutralize, malignant, forces, save, child?"
Movie,Buro Sadhu,Psychological,Drama,"Abir is a young man with a dysfunctional family. A personal tragedy makes him spiral, and he gets sucked into the vortex of addiction. When he starts rebuilding his life and regaining a semblance of normalcy, something happens that changes his life forever! Buro Sadhu tells the story of an individual's journey from boyhood to manhood while shining light on mental health in a nuanced way.",U/A 16+,4,2018,Kaushik Ganguly,"Prosenjit Chatterjee, Aparajita Adhya, Rwitobroto Mukherjee",142,Abir young man dysfunctional family.,Abir young man,"Abir, young, man, dysfunctional, family., personal, tragedy, makes, spiral,, gets, sucked, vortex, addiction., starts, rebuilding, life, regaining, semblance, normalcy,, happens, changes, life, forever!, Buro, Sadhu, tells, story, individual's, journey, boyhood, manhood, shining, light, mental, health, nuanced, way."
Movie,Ekannoborti,Drama,,"Life has thrown curveballs at Malini and her two daughters, Shila and Pinky. When they come together at their ancestral house on the occasion of Durga Pujo, skeletons come tumbling out of the closet. Amid the festive chaos, the three women find refuge in each other and gain a fresh perspective on life for starting afresh. Experience the charm of familial bond, tradition and second chances in Ekannoborti.",U/A 13+,3,2021,Parambrata Chattopadhyay,"Parambrata Chattopadhyay, Koel Mallick, Anjan Dutt, Kanchan Mullick",112,"Life thrown curveballs Malini daughters,",Life thrown curveballs,"Life, thrown, curveballs, Malini, daughters,, Shila, Pinky., come, ancestral, house, occasion, Durga, Pujo,, skeletons, come, tumbling, closet., Amid, festive, chaos,, women, refuge, gain, fresh, perspective, life, starting, afresh., Experience, charm, familial, bond,, tradition, second, chances, Ekannoborti."
Movie,Hobu Chandra Raja Gobu Chandra Mantri,Fantasy,,"A stranger named Gobuchandra tricks his way into becoming the Minister of Raja Hobuchandra, the king of Bombagarh, and turns the erstwhile happy kingdom into a totalitarian regime for his personal gain. How will the people of Bombagarh save their state?",U,1,2019,VIK,"Ritwick Chakraborty, Ishaa Saha, Chiranjeet Chakraborty",89,stranger named Gobuchandra tricks way,stranger named Gobuchandra,"stranger, named, Gobuchandra, tricks, way, Minister, Raja, Hobuchandra,, king, Bombagarh,, turns, erstwhile, happy, kingdom, totalitarian, regime, personal, gain., people, Bombagarh, save, state?"
Movie,Golondaaj,Sports,Drama,"Colonial oppression dictated that Indians couldn't play football in their own country. Nagendra Prasad Sarbadhikari challenged this norm and fought for the right to play football irrespective of caste, creed and nationality. Watch the inspiring journey of the Father of Indian Football in Golondaaj, only on hoichoi. ",U,1,2022,Mainak Bhaumik,"Aparajita Adhya, Sauraseni Maitra, Ananya Sen, Alokananda Roy",130,Colonial oppression dictated Indians couldn't,Colonial oppression dictated,"Colonial, oppression, dictated, Indians, couldn't, play, football, country., Nagendra, Prasad, Sarbadhikari, challenged, norm, fought, right, play, football, irrespective, caste,, creed, nationality., Watch, inspiring, journey, Father, Indian, Football, Golondaaj,, hoichoi."
Movie,Sahaj Paather Gappo,Drama,,"After their father meets an accident, Chottu and Gopal's mother become unable to feed them. While Gopal takes multiple jobs to become a bread earner of the family, Chottu is dreaming to get invited to the grand Janmasthtami feast arranged by a local Brahmin household.",U,1,2021,Aniket Chattopadhyay,"Saswata Chatterjee, Kharaj Mukherjee, Arpita Chatterjee, Subhasish Mukherjee",119,"father meets accident, Chottu Gopal's","father meets accident,","father, meets, accident,, Chottu, Gopal's, mother, unable, feed, them., Gopal, takes, multiple, jobs, bread, earner, family,, Chottu, dreaming, invited, grand, Janmasthtami, feast, arranged, local, Brahmin, household."
Movie,Rawkto Rawhoshyo,Thriller,,"Swarnaja, a radio jockey, has a golden heart and 'golden blood'. When she receives a mysterious call from a child at her radio station, it hints at a dark truth that sets her up on a race to save her bloodline. ",U/A 7+,2,2021,Dhrubo Banerjee,"Dev, Ishaa Saha, Anirban Bhattacharya, Alex O'Nell",147,"Swarnaja, radio jockey, golden heart","Swarnaja, radio jockey,","Swarnaja,, radio, jockey,, golden, heart, 'golden, blood'., receives, mysterious, child, radio, station,, hints, dark, truth, sets, race, save, bloodline."
Movie,Mukhosh (2021),Thriller,,A heinous serial killer is on the loose in Kolkata. The city police ropes in consulting criminologist Kingshuk to break open the case. Will they succeed in their pursuit of the masked killer?,U/A 16+,4,2016,Manas Mukul Pal,"Samiul Alam, Nur Islam, Sneha Biswas",81,heinous serial killer loose Kolkata.,heinous serial killer,"heinous, serial, killer, loose, Kolkata., city, police, ropes, consulting, criminologist, Kingshuk, break, open, case., succeed, pursuit, masked, killer?"
Movie,Borunbabur Bondhu,Drama,,"An irritable old man, Borunbabu is plagued by loneliness with a bedridden wife and a self-centred family. However, Borunbabu finds himself at the centre of all attention when the President of India, his old friend, suddenly writes to him. A simple letter stirs the pot, but to what end?",U/A 7+,2,2020,Soukarya Ghosal,"Koel Mallick, Rwitobroto Mukherjee, Chandhan Roy Sanyal",120,"irritable old man, Borunbabu plagued","irritable old man,","irritable, old, man,, Borunbabu, plagued, loneliness, bedridden, wife, self-centred, family., However,, Borunbabu, finds, centre, attention, President, India,, old, friend,, suddenly, writes, him., simple, letter, stirs, pot,, end?"
Movie,Chaplin,Drama,,"The world sees Bangshi as a Chaplin impersonator, but he sees himself as an artist whose entire life revolves around his son. Watch the journey of this father-son duo as they make the most of the little they have in the pursuit of happiness. ",U/A 7+,2,2020,Birsa Dasgupta,"Anirban Bhattacharya, Anirban Chakrabarti, Tota Roy Choudhury, Chhosh",114,"world sees Bangshi Chaplin impersonator,",world sees Bangshi,"world, sees, Bangshi, Chaplin, impersonator,, sees, artist, entire, life, revolves, son., Watch, journey, father-son, duo, make, little, pursuit, happiness."
Movie,Ekti Tarar Khonje,Drama,,A young man moves to a big city with the dream of becoming an actor. But his dream quickly turns into a nightmare as life in the city throws one curveball after another. Will his ability to see things differently save him?,U/A 16+,4,2019,Anik Dutta,"Soumitra Chatterjee, Paran Bandyopadhyay, Ritwick Chakraborty, Koushik Sen",122,young man moves big city,young man moves,"young, man, moves, big, city, dream, actor., dream, quickly, turns, nightmare, life, city, throws, curveball, another., ability, things, differently, save, him?"
Movie,Hawa Bodol,Drama,,"Two friends, Jeet and Raj, wish to have each other's lives because the grass is always greener on the other side. What happens when this fantasy becomes a reality?",A 18+,5,2011,Anindo Banerjee,"Rudranil Ghosh, Soham Maitra",131,"friends, Jeet Raj, wish other's","friends, Jeet Raj,","friends,, Jeet, Raj,, wish, other's, lives, grass, greener, side., happens, fantasy, reality?"
Movie,Patalghor,Science,Fiction,"More than a century ago, a scientist invented a machine that could transport people to the world of dreams. What happens when a team of rogues set out to find that lost machine?",U/A 7+,2,2010,Abhik Mukhopadhyay,"Shayan Munshi, Arpita Chatterjee, Dhritiman Chatterjee",138,"century ago, scientist invented machine","century ago, scientist","century, ago,, scientist, invented, machine, transport, people, world, dreams., happens, team, rogues, set, lost, machine?"
Movie,Dutta Vs Dutta,Drama,,Music is Rono's escape from an overly demanding father and an emotionally distant family. Will he be able to fuel his passion in a city at the peak of the Naxalite movement?,A 18+,5,2013,Parambrata Chattopadhyay,"Parambrata Chattopadhyay, Rudranil Ghosh, Raima Sen",137,Music Rono's escape overly demanding,Music Rono's escape,"Music, Rono's, escape, overly, demanding, father, emotionally, distant, family., able, fuel, passion, city, peak, Naxalite, movement?"
Movie,Hiralal,Drama,,Hiralal Sen started out as a still photography enthusiast and went on to make India's first ad film and first political documentary. 'Hiralal' depicts the tragic life of one of the founding fathers of Indian cinema. ,U/A 7+,2,2003,Abhijit Chaudhuri,"Sourav Bandopadhyay, Soumitra Chatterjee, Ramaprasad Banik, Kharaj Mukherjee",134,Hiralal Sen started photography enthusiast,Hiralal Sen started,"Hiralal, Sen, started, photography, enthusiast, went, make, India's, ad, film, political, documentary., 'Hiralal', depicts, tragic, life, founding, fathers, Indian, cinema."
Movie,Pratidwandi,Thriller,,"When Dr. Bakshi' s son gets kidnapped, Siddharta and his team of private investigators look into the case. Is the kidnapping related to the series of recent murders in Kolkata? And how is maths teacher Sukumar Sen connected to all this?",U/A 16+,4,2012,Anjan Dutt,"Ronodeep Bose, Anjan Dutt",116,Dr. Bakshi' s son gets,Dr. Bakshi' s,"Dr., Bakshi', s, son, gets, kidnapped,, Siddharta, team, private, investigators, look, case., kidnapping, related, series, recent, murders, Kolkata?, maths, teacher, Sukumar, Sen, connected, this?"
Movie,The Parcel,Drama,,"What happens when you suddenly start receiving mysterious parcels containing seemingly ordinary gifts? 'The Parcel' is the story of Nandini and Souvik, whose blissful life gets stirred by parcels from an anonymous sender. Which dark secret threatens to unmask itself and turn everything upside down? ",U/A 13+ ,3,2018,Arun Roy,"Kinjal Nanda, Saswata Chatterjee, Kharaj Mukherjee, Anuska Chakraborty",137,happens suddenly start receiving mysterious,happens suddenly start,"happens, suddenly, start, receiving, mysterious, parcels, containing, seemingly, ordinary, gifts?, 'The, Parcel', story, Nandini, Souvik,, blissful, life, gets, stirred, parcels, anonymous, sender., dark, secret, threatens, unmask, turn, upside, down?"
Movie,Tarikh,Drama,,"Anirban, an idealist professor, and Ira, a conservative hospitality professional, are happily married. However, something unusually strong seems to pull Ira towards Rudranshu, Anirban’s friend. Tarikh explores various facets of human existence – life, death, morals, immortality, unrequited love, sacrifices – through the lives of these three characters with contrasting views of the world and life. ",U/A 16+ ,4,2021,Saptaswa Basu,"Saswata Chatterjee, Rudranil Ghosh, Saurav Das, Saayoni Ghosh",109,"Anirban, idealist professor, Ira, conservative","Anirban, idealist professor,","Anirban,, idealist, professor,, Ira,, conservative, hospitality, professional,, happily, married., However,, unusually, strong, pull, Ira, Rudranshu,, Anirban’s, friend., Tarikh, explores, various, facets, human, existence, –, life,, death,, morals,, immortality,, unrequited, love,, sacrifices, –, lives, characters, contrasting, views, world, life."
Movie,Prem Tame,Romantic,Comedy,A unique love story between three small town friends. But things change as it is the same love that makes them closer and drift apart. What happens when a dog comes into their equation?,U/A 13+ ,3,2019,Indrasis Acharya,"Rituparna Sengupta,  Saswata Chatterjee, Anindya Chatterjee  ",125,unique love story small town,unique love story,"unique, love, story, small, town, friends., things, change, love, makes, closer, drift, apart., happens, dog, comes, equation?"
Movie,Hoichoi Unlimited,Comedy,,Four friends plan a "men only" trip to Uzbekistan. But can they ever flee from the close watch of their wives? Watch the full movie on Hoichoi.,U/A 7+,2,2019,Churni Ganguly,"Saswata Chatterjee, Raima Sen, Ritwick Chakraborty ",115,friends plan "men only" trip,friends plan "men,"friends, plan, ""men, only"", trip, Uzbekistan., flee, close, watch, wives?, Watch, movie, Hoichoi."
Movie,Chaamp,Drama,,"Shibaji, a star-boxer, faces a grave injury that ruins his boxing career. But will he be able to get his strengths together again and fight in the ultimate game of life?",U/A 13+ ,3,2021,Anindya Chatterjee,"Susmita Chatterjee, Shweta Mishra, Soumya Mukherjee",128,"Shibaji, star-boxer, faces grave injury","Shibaji, star-boxer, faces","Shibaji,, star-boxer,, faces, grave, injury, ruins, boxing, career., able, strengths, fight, ultimate, game, life?"
Movie,Cockpit,Drama,,"Inspired by true events, Cockpit narrates the story of a braveheart pilot who leads his flight from Mumbai to Kolkata through a turbulent storm.",U/A 13+ ,3,2018,Aniket Chattopadhyay,"Dev, Koushani Mukherjee, Puja Banerjee, Kharaj Mukherjee, Saswata Chatterjee",135,"Inspired true events, Cockpit narrates","Inspired true events,","Inspired, true, events,, Cockpit, narrates, story, braveheart, pilot, leads, flight, Mumbai, Kolkata, turbulent, storm."
Movie,Kabir,Action,,"Yasmin meets a charming photographer, Kabir, while traveling on a train. But Yasmin and Kabir are star-crossed in the battle between terrorism and love.",A 18+,5,2017,Raj Chakraborty,"Dev, Rukmini Maitra, Chiranjeet Chakraborty",152,"Yasmin meets charming photographer, Kabir,",Yasmin meets charming,"Yasmin, meets, charming, photographer,, Kabir,, traveling, train., Yasmin, Kabir, star-crossed, battle, terrorism, love."
Movie,Manojder Adbhut Bari,Adventure,,"A missing prince, an old picture - and a strange adventure... This classic is about three siblings in a crazy family. Watch this children's classic on hoichoi.",U/A 7+,2,2017,Kamaleswar Mukherjee,"Dev, Rukmini Maitra, Koel Mallick",132,"missing prince, old picture -","missing prince, old","missing, prince,, old, picture, -, strange, adventure..., classic, siblings, crazy, family., Watch, children's, classic, hoichoi."
Movie,Cheeni,Drama,,"A mother-daughter's love story, with a twist! This family drama will take you on an emotional roller coaster ride, amidst unwanted revelations and surprising family secrets.",U/A 7+,2,2018,Aniket Chattopadhyay,"Dev, Rukmini Maitra",108,"mother-daughter's love story, twist! family","mother-daughter's love story,","mother-daughter's, love, story,, twist!, family, drama, emotional, roller, coaster, ride,, amidst, unwanted, revelations, surprising, family, secrets."
Movie,Dracula Sir,Drama,,"Amal, a school teacher with a rare pair of sharp canines and Manjari, a naxal widow of the 70's Kolkata. Here's a love story that travels through the test of time.",U/A 16+ ,4,2018,Anindya Chatterjee,"Soumitra Chatterjee, Abir Chatterjee, Ambarish Bhattacharya",115,"Amal, school teacher rare pair","Amal, school teacher","Amal,, school, teacher, rare, pair, sharp, canines, Manjari,, naxal, widow, 70's, Kolkata., Here's, love, story, travels, test, time."
Movie,Rajlokhi O Srikanto,Drama,,"Srikanto - a nomad traveller meets his childhood love Rajlokhi, now incidentally a mistress to his travel companion Hukumchand. Watch the full movie on Hoichoi.",U/A 16+ ,4,2021,Mainak Bhaumik,"Madhumita Sarcar, Aparajita Adhya, Saurav Das",109,Srikanto - nomad traveller meets,Srikanto - nomad,"Srikanto, -, nomad, traveller, meets, childhood, love, Rajlokhi,, incidentally, mistress, travel, companion, Hukumchand., Watch, movie, Hoichoi."
Movie,Brombhodoityo,Horror,,What happens when a folklore researcher ends up ordering a vintage demon from a mysterious website ? Watch the spine chilling tale of "Bromhodoityo".,U/A 16+,4,2020,Debaloy Bhattacharya,"Anirban Bhattacharya, Mimi Chakraborty, Bidipta Chakraborty",125,happens folklore researcher ends ordering,happens folklore researcher,"happens, folklore, researcher, ends, ordering, vintage, demon, mysterious, website, ?, Watch, spine, chilling, tale, ""Bromhodoityo""."
Movie,Sthaniya Sambaad,Drama,,A young bengali poet searches for love as his house gets demolished in the post - partition city of Kolkata.,U/A 16+ ,4,2019,Pradipta Bhattacharya,"Ritwick Chakraborty, Rahul Banerjee, Aparajita Ghosh Das, Jyotika Jyoti, Sayan Ghosh",145,young bengali poet searches love,young bengali poet,"young, bengali, poet, searches, love, house, gets, demolished, post, -, partition, city, Kolkata."
Movie,Ajob Prem Ebong,Comedy,,"When a bus belonging to a corrupt politician runs over Moyna's husband, she confronts the bus's conductor to seek justice. What happens when Moyna ends up falling for the conductor? Find out in the dark comedy, Ajob Prem Ebong. ",U/A 13+ ,3,2020,Abhirup Ghosh,"Rudranil Ghosh, Sayooni Ghosh, Anindya Chatterjee",84,bus belonging corrupt politician runs,bus belonging corrupt,"bus, belonging, corrupt, politician, runs, Moyna's, husband,, confronts, bus's, conductor, seek, justice., happens, Moyna, ends, falling, conductor?, dark, comedy,, Ajob, Prem, Ebong."
Movie,Abasheshe,Drama,,"Twenty -two years later, Soumya returns to Kolkata and learns about his mother through her diary. Watch this unforgettable rendition ""Abosheshe"".",U/A 7+,2,2009,"Arjun Gourisaria, Moinak Biswas","Suman Mukhopadhyay, Anindya Banerjee, Anirban Dutta, Bratya Basu, Nayana Palit",106,"-two years later, Soumya returns","-two years later,","-two, years, later,, Soumya, returns, Kolkata, learns, mother, diary., Watch, unforgettable, rendition, ""Abosheshe""."
Movie,Banshiwala,Drama,,Mridul returns to his ancestral house after suffering a huge loss in business. Watch the extravagant tale of homecoming "Banshiwala".,U/A 16+,4,2011,Arindam Dey,"Paoli Dam, Rahul Banerjee, Sabyasachi Chakraborty, Biswajit Chakraborty, Mithu Chakraborty, Padmanabha Dasgupta, Shankar Ghoshal, Shamik Sinha, Chiranjeet Chakraborty, Paran Bandopadhyay, Ratna Ghoshal",128,Mridul returns ancestral house suffering,Mridul returns ancestral,"Mridul, returns, ancestral, house, suffering, huge, loss, business., Watch, extravagant, tale, homecoming, ""Banshiwala""."
Movie,Ekla Akash,Drama,,"This is a story of love, despair, and infidelity, revolving around a couple, struggling to cope with a troubled marriage and the tragedy of losing their only child.",U/A 16+,4,2011,Aditi Roy,"Ronjini Chakraborty, Roopa Ganguly, Ankur Khanna, Raima Sen, Deepankar De, Sumon Mukhopadhyay, Abhijeet Guha",118,"story love, despair, infidelity, revolving","story love, despair,","story, love,, despair,, infidelity,, revolving, couple,, struggling, cope, troubled, marriage, tragedy, losing, child."
Movie,Rang Milanti,Romance,,Four boys are in love with an enigmatic woman. The story unfolds around her decision to make a choice among them. Watch the full movie on Hoichoi.,U/A 13+ ,3,2010,Anjan Das,"Shayan Munshi, Paoli Dam, Indrani Halder, Kaushik Sen, Soumitra Chatterjee",100,boys love enigmatic woman. story,boys love enigmatic,"boys, love, enigmatic, woman., story, unfolds, decision, make, choice, them., Watch, movie, Hoichoi."
Movie,Namte Namte,Social,Drama,What happens when a simple man decides to seek help from a criminal ? Watch the tale of the degeneration of a common man.,U/A 16+ ,4,2012,Sandipan Roy,"Parambrata Chatterjee, Parno Mittra, Goutam Ghose",139,happens simple man decides seek,happens simple man,"happens, simple, man, decides, seek, help, criminal, ?, Watch, tale, degeneration, common, man."
Movie,Meghmallar,Drama,,"What happens when a chemistry teacher's mistaken identity throws him and his family into the pandemonium of the 1971 Bangladesh Liberation War ? Watch the tale of interplay between fear and courage, hope and despair in ""Meghmallar"".",U/A 7+,2,2011,Kaushik Ganguly,"Ridhima Ghosh, Gourab Chatterjee, Gaurav Chakrabarty, indrasish Roy, Saswata Chatterjee",127,happens chemistry teacher's mistaken identity,happens chemistry teacher's,"happens, chemistry, teacher's, mistaken, identity, throws, family, pandemonium, 1971, Bangladesh, Liberation, War, ?, Watch, tale, interplay, fear, courage,, hope, despair, ""Meghmallar""."
Movie,Phoring,Drama,,"An adolescent boy growing up in the foothills of North Bengal grows an infatuation for his teacher at school, who disappears. Watch the full movie on Hoichoi.",U/A 16+ ,4,2013,Rana Basu,"Saswata Chatterjee, Roopa Ganguly, Rajatabha Dutta, Bhaswar Chatterjee, Sanchita",115,adolescent boy growing foothills North,adolescent boy growing,"adolescent, boy, growing, foothills, North, Bengal, grows, infatuation, teacher, school,, disappears., Watch, movie, Hoichoi."
Movie,Krishnakanter Will,Drama,,"How far will a son go to get his own share of property ? Here is a tale that explores conspiracy, a father-son relationship in ""Krishnakanter Will"".",U/A 16+ ,4,2015,Zahidur Rahim Anjan,"Shahiduzzaman Selim, Aparna Ghosh, Marjan Hossain Zara, Jayanta Chattopadhyay, Mosharraf Karim, Mostafiz Shahin, Adnan Sobhan Evan",92,far son share property ?,far son share,"far, son, share, property, ?, tale, explores, conspiracy,, father-son, relationship, ""Krishnakanter, Will""."
Movie,Swapnajaal,Romance,,"Set in the 90s, in the suburbs of Bangladesh, ""Swapnajal"" is a desperate love story of a young couple set against the backdrop of a communal riot.",U/A 7+,2,2013,Indranil Roychowdhury,"Sohini Sarkar, Ritwick Chakraborty, Akash Adhikary, Shankar Debnath, Sourav Basak, Dwijen Bandopadhyay, Senjuti Roy Mukherji",127,"Set 90s, suburbs Bangladesh, ""Swapnajal""","Set 90s, suburbs","Set, 90s,, suburbs, Bangladesh,, ""Swapnajal"", desperate, love, story, young, couple, set, backdrop, communal, riot."
Movie,Anil Bagchir Ekdin,Drama,,"A day in the life of Anil Bagchi, who tries to return to his village at the onset of the Liberation War in Bangladesh. Watch the full movie on Hoichoi.",U/A 7+,2,2007,Raja Sen,"Jeet, Swastika Mukherjee, Monali Thakur, Soumitra Chatterjee, Kunal Mittra, Tulika Basu",138,"day life Anil Bagchi, tries",day life Anil,"day, life, Anil, Bagchi,, tries, return, village, onset, Liberation, War, Bangladesh., Watch, movie, Hoichoi."
Movie,Nagarkirtan,Drama,,"Puti and Madhu, meet each other in a ghetto of eunuchs, and soon their love blossoms. What will be their destiny ? Watch another masterpiece by Kaushik Ganguly - ""Nagarkirtan"".",A 18+,5,2018,Shyamal Bose,"Sushmita Roy, Surojit Bose, Trina Das",141,"Puti Madhu, meet ghetto eunuchs,","Puti Madhu, meet","Puti, Madhu,, meet, ghetto, eunuchs,, soon, love, blossoms., destiny, ?, Watch, masterpiece, Kaushik, Ganguly, -, ""Nagarkirtan""."
